KantonKürzel;Kanton;Total;Alter-0–19;Alter-20–64;Alter-65-und-mehr;Mann;Frau;Schweizer;Ausländer ;Ledig;Verheiratet;Verwitwet;Geschieden;Unverheiratet;EingetragenePartnerschaft;AufgelöstePartnerschaft;StädtischerKernraum;EinflussgebietstädtischerKerne;GebieteausserhalbEinflussgebietstädtischerKerne
VD;Waadt;830431;180828;510764;138839;408209;422222;554772;275659;405980;313352;33611;75333;83;1646;405;511867;232420;86144
VS;Wallis;357282;68941;215062;73279;177835;179447;272671;84611;157310;148115;18653;32679;38;373;100;196906;85174;75202
GE;Genf;514114;108417;320827;84870;249007;265107;303157;210957;253662;188043;19930;50674;107;1341;344;467954;46160;0
BE;Bern;1051437;200509;620777;230151;516805;534632;872661;178776;469022;431354;54214;94967;57;1389;416;551861;234361;265215
FR;Freiburg;334465;73118;205729;55618;167569;166896;255175;79290;157683;133499;13755;28986;28;405;99;108282;140065;86118
SO;Solothurn;282408;54189;169758;58461;141168;141240;214403;68005;120412;121474;14045;25990;13;367;83;169914;72522;39972
NE;Neuenburg;176571;36157;105474;34940;86657;89914;131328;45243;82116;65602;9140;19433;13;205;61;103225;51728;21618
JU;Jura;73865;15081;42461;16323;36566;37299;62622;11243;32878;29484;4359;7042;10;72;19;24797;14926;34142
BS;Basel-Stadt;196786;34516;123376;38894;95937;100849;123465;73321;98160;69212;9522;19145;21;598;121;196786;0;0
BL;Basel-Landschaft;294417;56709;170422;67286;144441;149976;223876;70541;121799;130051;15814;26126;13;504;104;199822;87691;6904
AG;Aargau;711232;144909;433224;133099;357753;353479;524909;186323;308288;310713;31059;60103;32;803;212;388542;222279;100411
ZH;Zürich;1579967;312392;994624;272951;788846;791121;1141651;438316;756713;619417;61890;136723;83;3970;1124;1221626;347932;10409
GL;Glarus;41471;7968;24758;8745;20975;20496;30918;10553;17630;17889;2258;3638;2;44;9;31943;0;9528
SH;Schaffhausen;85214;16063;50430;18721;42318;42896;62066;23148;35698;36956;4518;7887;3;121;27;48606;27907;8701
AR;Appenzell A. Rh.;55759;11365;32747;11647;28114;27645;46395;9364;24016;23935;2744;4983;1;66;14;15744;26922;13093
AI;Appenzell I. Rh.;16416;3392;9674;3350;8408;8008;14510;1906;7420;7045;855;1083;1;9;3;0;0;16416
SG;St. Gallen;525967;107360;318282;100325;264521;261446;392009;133958;231778;224539;24426;44592;20;470;111;364320;68936;92711
GR;Graubünden;202538;35349;121064;46125;101760;100778;162686;39852;87011;86944;10737;17628;15;157;42;66483;24663;111392
TG;Thurgau;289650;58864;175890;54896;146046;143604;213633;76017;124170;126446;12894;25730;12;321;74;133452;60676;95522
LU;Luzern;424851;85932;260162;78757;212021;212830;340582;84269;196755;176873;18845;31692;27;520;127;223366;48728;152757
UR;Uri;37317;7362;21811;8144;19007;18310;32224;5093;16026;17082;1973;2200;6;25;5;22995;9998;4324
SZ;Schwyz;164920;31575;101903;31442;84722;80198;127120;37800;72025;71493;7227;13926;4;197;44;100253;35258;29409
OW;Obwalden;38700;7638;23137;7925;19574;19126;32652;6048;17104;16975;1823;2767;1;25;4;10654;0;28046
NW;Nidwalden;44420;7906;26689;9825;22783;21637;37150;7270;19240;19214;2064;3839;2;44;4;16062;6022;22336
ZG;Zug;131164;26480;81164;23520;66574;64590;92130;39034;57960;57404;5085;10430;12;232;38;120275;10889;0
TI;Tessin;354023;62193;208340;83490;172337;181686;254597;99426;153195;146184;21357;32761;43;389;92;251844;76920;25259
