KantonKürzel;Kanton;Anzahl Personen Total;AnzahlPersonen, die alleine wohnen;AnzahlPersonen in Paarhaushalten ohne Kinder;AnzahlPersonen in Paarhaushalten mit mindestens einem Kind unter 25 Jahren;AnzahlPersonen in Paarhaushalten mit jüngstem Kind von 25 Jahren oder älter;AnzahlPersonen in Einelternhaushalten mit mindestens einem Kind unter 25 Jahren;AnzahlPersonen in Einelternhaushalten mit jüngstem Kind von 25 Jahren oder älter;AnzahlPersonen in Mehrfamilienhaushalten;AnzahlPersonen in Nichtfamilienhaushalten
ZH;Zürich;1'312'405;267'374;386'067;454'091;49'097;55'819;20'442;24'123;55'392
BE;Bern / Berne;879'250;186'572;291'867;282'101;33'116;39'542;12'445;9'276;24'332
LU;Luzern;352'203;65'878;109'518;127'701;14'949;13'203;5'404;4'867;10'682
UR;Uri;31'075;5'354;10'504;11'452;(1'701);-919;-509;X;-463
SZ;Schwyz;138'672;24'187;43'768;48'817;7'976;4'529;(2'071);(3'100);4'224
OA;Obwalden;32'327;5'589;9'738;11'979;(1'912);-833;-627;-754;-894
NW;Nidwalden;37'829;6'936;13'646;12'573;(1'768);-977;-787;-277;-865
GL;Glarus;34'613;6'890;10'547;11'770;(1'863);(1'326);-925;-600;-692
ZG;Zug;108'988;18'504;33'530;40'822;5'775;3'897;1'671;1'758;3'031
FR;Fribourg / Freiburg;273'360;47'092;75'659;110'030;13'131;14'217;4'965;3'398;4'868
SO;Solothurn;237'080;45'812;76'156;79'661;10'375;10'470;4'405;3'506;6'695
BS;Basel-Stadt;165'064;46'783;43'961;47'325;5'810;9'283;3'574;(1'601);6'727
BL;Basel-Landschaft;247'485;46'525;80'282;84'045;10'857;11'949;5'049;3'994;4'782
SH;Schaffhausen;71'535;15'447;22'429;23'097;3'094;3'343;(1'116);(1'269);(1'742)
AR;Appenzell Ausserrhoden;46'088;8'734;14'973;15'909;(2'477);(1'537);-684;-903;-871
AI;Appenzell Innerrhoden;13'538;(2'202);3'956;5'010;(1'089);-576;-341;X;-363
SG;St. Gallen;436'948;84'002;131'986;154'248;20'109;19'522;8'764;7'635;10'682
GR;Graubünden / Grigioni / Grischun;172'987;37'619;55'125;54'988;9'065;6'969;4'112;(1'736);3'372
AG;Aargau;592'754;104'091;185'816;211'426;27'702;24'740;10'480;12'970;15'529
TG;Thurgau;241'241;43'802;76'940;87'171;10'184;9'257;3'851;4'069;5'967
TI;Ticino;303'163;69'973;78'556;98'311;20'422;18'266;10'329;2'642;4'665
VD;Vaud;678'300;141'176;171'943;255'711;27'879;45'674;13'230;7'417;15'271
VS;Valais / Wallis;299'210;61'822;85'371;105'423;17'745;14'648;6'800;3'377;4'023
NE;Neuchâtel;147'270;34'893;39'377;51'988;5'251;10'059;2'645;-546;2'511
GE;Genève;392'800;79'834;75'271;142'681;26'598;30'830;15'212;13'000;9'375
JU;Jura;61'634;12'710;17'797;21'994;2'930;3'705;(1'152);-549;-797
